client_num,time_stamp,event,server_id,avg_thread_count
4888,1509037358895,done,1509036452413,2.333333333333327
4896,1509037359003,start,,
4889,1509037359091,done,1509037037912,2.350000000000001
4897,1509037359144,start,,
4890,1509037359161,done,1509036206104,2.150000000000001
4898,1509037359277,start,,
4891,1509037359357,done,1509036452413,2.333333333333327
4899,1509037359422,start,,
4892,1509037359497,done,1509037037912,2.350000000000001
4893,1509037359560,done,1509036206104,2.150000000000001
4900,1509037359569,start,,
4901,1509037359710,start,,
4894,1509037359742,done,1509036452413,2.333333333333327
4895,1509037359908,done,1509037037912,2.350000000000001
4903,1509037359989,start,,
4896,1509037360004,done,1509036206104,2.150000000000001
4904,1509037360125,start,,
4897,1509037360166,done,1509036452413,2.333333333333327
4905,1509037360266,start,,
4898,1509037360303,done,1509037037912,2.350000000000001
4899,1509037360399,done,1509036206104,2.150000000000001
4906,1509037360410,start,,
4907,1509037360547,start,,
4900,1509037360557,done,1509036452413,2.333333333333327
4908,1509037360684,start,,
4901,1509037360708,done,1509037037912,2.350000000000001
4909,1509037360820,start,,
4902,1509037360844,start,,
4910,1509037360971,start,,
4903,1509037360971,done,1509036206104,2.150000000000001
4904,1509037361105,done,1509036452413,2.333333333333327
4911,1509037361109,start,,
4912,1509037361242,start,,
4905,1509037361275,done,1509037037912,2.350000000000001
4913,1509037361384,start,,
4906,1509037361411,done,1509036206104,2.1666666666666674
4914,1509037361524,start,,
4915,1509037361674,start,,
4907,1509037361708,done,1509036452413,2.333333333333327
4916,1509037361809,start,,
4908,1509037361871,done,1509037037912,2.3666666666666676
4909,1509037361878,done,1509036206104,2.1666666666666674
4917,1509037361949,start,,
4902,1509037361966,done,1509036452413,2.333333333333327
4918,1509037362097,start,,
4910,1509037362117,done,1509037037912,2.3666666666666676
4919,1509037362229,start,,
4911,1509037362325,done,1509036206104,2.1666666666666674
4920,1509037362364,start,,
4912,1509037362411,done,1509036452413,2.333333333333327
4921,1509037362517,start,,
4913,1509037362568,done,1509037037912,2.3666666666666676
4914,1509037362641,done,1509036206104,2.1666666666666674
4922,1509037362654,start,,
4923,1509037362787,start,,
4915,1509037362829,done,1509036452413,2.333333333333327
4924,1509037362936,start,,
4916,1509037362971,done,1509037037912,2.3666666666666676
4925,1509037363076,start,,
4926,1509037363212,start,,
4917,1509037363247,done,1509036206104,2.1666666666666674
4918,1509037363249,done,1509036452413,2.3499999999999934
4927,1509037363359,start,,
4919,1509037363363,done,1509037037912,2.3666666666666676
4920,1509037363492,done,1509036206104,2.1666666666666674
4928,1509037363494,start,,
4921,1509037363592,done,1509036452413,2.3499999999999934
4929,1509037363636,start,,
4922,1509037363733,done,1509037037912,2.3666666666666676
4930,1509037363769,start,,
4931,1509037363920,start,,
4923,1509037363957,done,1509036206104,2.1666666666666674
4924,1509037364033,done,1509036452413,2.3499999999999934
4932,1509037364053,start,,
4925,1509037364163,done,1509037037912,2.3666666666666676
4933,1509037364188,start,,
4926,1509037364271,done,1509036206104,2.1666666666666674
4934,1509037364338,start,,
4935,1509037364477,start,,
4927,1509037364499,done,1509036452413,2.3499999999999934
4928,1509037364559,done,1509037037912,2.3666666666666676
4936,1509037364619,start,,
4929,1509037364726,done,1509036206104,2.1666666666666674
4937,1509037364757,start,,
